Name,Category,Year,Description_Length,Current_Description_Preview
"Crane River (O-Chi-Chak-Ko-Sipi)","Settlement","Historic","158","Located on the northwest shore of Lake Manitoba. Historically | Métis and First Nations gathered here to collect salt. It borders the Crane River First"
"Crescentwood","Settlement (Displaced)","Pre-1870 (Lots); 1902 (Suburb)","189","Originally composed of long Métis river lots south of the Assiniboine River in Winnipeg. Wealthy development starting in 1902 displaced original resid"
"Cumberland House","Fort / Trading Post","1774","103","A major fur trade juncture established in 1774. It was the main route into the North in the late 1800s."
"Curling River Post","Trading Post","1817","134","Established by Peter Fidler's son Charles to compete with NWC posts near Minnedosa. It was located on the Curling (now Rolling) River."
"Cypress Hills","Settlement (Wintering site)","Historic","136","A vital seasonal hunting ground and settlement area for the plains Métis. Hivernant families and brigades utilized the area extensively."
"Deer Rapids","Settlement","Historic","96","The location of early Indian and Métis settlements on the Red River | later known as St. Andrews."
"Dog Head Settlement","Settlement / Trading Post","1901 (Documented)","170","Located on the east shore of Lake Winnipeg; home to itinerant Métis such as prospector Louis Simard Sr.. Simard held claims in several mining shafts l"
"Dog Patch","Road Allowance Community","Early 1900s","144","A road allowance community in Winnipeg near the CPR Weston shops. Created as Métis were displaced by industrial expansion and urban development."
"Duck Bay (Zhiishiibi-Ziibiing)","Settlement","Oral tradition / approximate","188","A centuries-old gathering place on Lake Winnipegosis known for salt springs and fisheries. Many members took scrip in 1885 but unsuccessfully petition"
"Duck Mountain","Geographic Landmark","Historic","107","A significant geographic area for fur trade and Métis settlement | notably around San Clara and Boggy Creek."
"Easterville","Settlement (Relocated)","Early 1960s","175","The relocation site for families from the flooded Cedar Lake community. The townsite was deemed unsuitable for their traditional way of life | leading "
"Eddystone","Settlement","1938 (Church)","143","Originally called Lonely Lake; in 1938 | residents collaborated to build the St. Thomas Aquinas Catholic Church. Land was donated by Jim Spence."
"Edmonton House (Fort Augustus)","Fort / Trading Post","1795","82","A major northwestern trade hub and destination for Red River families moving west."
"Fairford Settlement (formerly Pinaymootang)","Mission / Trading Post","1795 (Post); 1842 (Mission)","132","A mission and trading post where trade relations were notoriously tense in the late 1700s. Duncan Cameron wintered there in 1795-96."
"Fish Creek","Historic Site","Historic","350","Flows into the South Saskatchewan River near Batoche Saskatchewan. Site of the Battle of Fish Creek (Tourond's Coulee) on April 24 1885 where Gabriel "
"Flee Island Entrenchments","Historic Site (Defensive)","1864","161","Fortified camps built by Dakota refugees in 1864. They featured circular trenches and pits where women and children took refuge during attacks by boun"
"Fond du Lac (now St. Laurent)","Settlement","1824","186","Established by Métis forced to leave Pembina when it became American territory. Residents maintained a strong Michif identity despite church and schoo"
"Fort Alexander (Sagkeeng)","Fort / Trading Post","1793","179","Originally an HBC post built to counter the NWC's Bas-de-la-Rivière. It was a key provisioning post where pemmican from the upper Assiniboine was stor"
"Fort Dauphin","Fort / Trading Post","1741","136","Established in present-day Winnipegosis by Chevalier de la Vérendrye. Explorer Peter Fidler died here in 1822. Later known as "Dogtown"."
"Fort de la Rivière Tremblante","Fort / Trading Post","1791","156","Built by Robert Grant | it was Cuthbert Grant Sr.'s favorite residence and a key provisioning post for brigades. Departed in 1798 due to intense compet"
"Fort de la Rivière Tremblante (Grant’s House, Aspin House)","Fort / Trading Post","1791","350","Built by Robert Grant of the North West Company in 1791 | this post was situated on the Upper Assiniboine River near the mouth of the Rivière Tremblant"
"Fort des Épinettes","Fort / Trading Post","1768","100","A major depot on the Assiniboine used for Mandan trade. Abandoned in 1781 after a smallpox epidemic."
"Fort Desjarlais","Fort / Trading Post","1836","109","Built by Joseph Desjarlais and protected by an oak palisade. It was a major supplier of pemmican and whiskey."
"Fort Ellice","Fort / Trading Post","1794","144","Established on the Qu’Appelle River; it served as the headquarters for the Swan River District. Managed by famous Métis traders like the McKays."
"Fort Gibralter","Fort / Trading Post","1810","121","Built at the Forks by the NWC; seized by Louis Riel in 1869. Site for meetings of the Legislative Assembly of Assiniboia."
"Fort la Reine","Fort / Trading Post","Oral tradition / approximate","122","Established near a buffalo crossing and sturgeon fishery. Home of Chief Peichito Tanner | who operated 250 Red River carts."
"Fort la Reine (Portage la Prairie)","Fort / Trading Post","1738","122","Established near a buffalo crossing and sturgeon fishery. Home of Chief Peichito Tanner | who operated 250 Red River carts."
"Fort Langley","Fort / Trading Post","Historic","350","Major Hudson's Bay Company post established in 1827 on the Fraser River in what is now British Columbia. A critical supply and trade hub for the Pacif"
"Fort Montagne à la Bosse","Fort / Trading Post","1790","133","Built on the Upper Assiniboine near buffalo wintering grounds. Buffalo could be seen grazing from the fort gate at almost any season."
"Fort Mr. Grant","Fort / Trading Post","1824","132","Built by Cuthbert Grant after the HBC closed Brandon House. Used to trade with Métis and Indians from Turtle Mountain to Qu’Appelle."
"Fort Pelly","Fort / Trading Post","1824","78","Headquarters for the Swan River District before being replaced by Fort Ellice."
"Fort Pinancewaywining","Fort / Trading Post","1802","120","Located south-west of Morden; first post supplied by Red River Carts from Pembina. Built by Alexander Henry the Younger."
"Fort Rouge","Fort / Trading Post","1738","135","Located at the south point of the Forks; originally river lots owned by Métis families. Residents were displaced by suburban expansion."
"Fort Souris","Fort / Trading Post","1793","108","Built on the Souris River for Mandan trade. Abandoned when HBC built Brandon House but later re-established."
"Fort St. Charles","Fort / Trading Post","Early 1730s","108","Built by La Vérendrye in the early 1730s; ruins discovered in 1902. Contained remains of La Vérendrye's son."
"Fouillard Town (The Corner / Li Kwayn)","Road Allowance Community","1939","350","A road allowance community near Binscarth established by refugees from Ste. Madeleine. After their homes in Ste. Madeleine were burned in 1939 to make"
"Four Persons","Settlement","Late 1800s","350","A Métis community in northern Montana associated with the broader Choteau settlement area. Formed by families who migrated south from the Red River re"
"Frog Plain (La Grenouillère)","Meeting Site / Rendezvous","Early 1800s","119","Traditional meeting place north of Seven Oaks. Site of annual rendezvous where partners met brigades bringing pemmican."
"Gabriel's Crossing","Settlement / Transportation site","1870s","85","A historic ferry crossing on the South Saskatchewan River operated by Gabriel Dumont."
"Grand Marais","Settlement","Early 1800s","143","Community on the east shore of Lake Winnipeg that maintained exclusive Métis identity until the mid-1950s. Overwhelmed by the tourist industry."
"Grand Rapids (Red River and Saskatchewan River)","Settlement / Fort","1823 (Red River) / 1864 (HBC Sask River)","350","The Red River community was formed after 1823 north of Winnipeg on high ground. In 1840 | it was 39% Métis fathers and 97% Aboriginal mothers. The Sask"
"Grande Pointe","Settlement","1860s","141","Métis settlement dating back to the 1860s along the Seine River. Residents found employment building the Pembina Branch Railway in the 1870s."
"Grantown (St. François Xavier)","Parish / Settlement","Oral tradition / approximate","136","Established by Cuthbert Grant in 1823 as a buffer for the Red River Settlement. First industrial site in Manitoba for cart construction."
"Grassy Narrows House","Trading Post (Outpost)","Pre-1875","133","HBC outpost on Lake Winnipeg staffed by Métis families like the Whiteways and Spences. Located on the west bank of the Hecla channel."
"Green Lake (Lac Vert)","Settlement / Trading Post","Historic","56","Listed as a significant Métis community in Saskatchewan."
"Hair Hills or Pembina Mountains","Geographic Landmark","Historic","116","Named for buffalo wool rubbed off on trees. Strategic wintering spot for hunters and site of early trading outposts."
"Havre","Settlement","Late 1800s","350","Northern Montana Métis community along the Milk River | where families settled after being displaced from the Red River area. Members took scrip in the"
"Heart Butte","Settlement","Historic","350","A Métis community in northwestern North Dakota with deep cultural and kinship connections to the Canadian Red River Métis homeland. The community is l"
"Îlets de Bois","Settlement / Sugar Bush Site","Oral tradition / approximate","125","Primary stopping point for buffalo hunters to repair carts. Famous for spring "sugar lots" where families tapped maple trees."
"Îlets de Bois (now Carman)","Settlement","1825","125","Primary stopping point for buffalo hunters to repair carts. Famous for spring "sugar lots" where families tapped maple trees."
"Island Cache","Settlement","Historic","350","A Métis community in British Columbia associated with the western migration of fur trade families. Located along major trade routes | it served as a st"
"Jack River Post","Trading Post","1796","123","HBC post south of Norway House; relocation site for Selkirk Settlers in 1815. Replaced by modern Norway House site in 1827."
"Kansas Half Breed Tracts","Reserved Lands / Settlement","1825","54","Lands set aside for Métis people in the United States."
"Kelly Lake","Settlement","Historic","350","A Métis community in northeastern British Columbia | near the Alberta border. Established during the westward expansion of the fur trade and the moveme"
"Kettle Stones","Geographic Landmark","Ancient","118","Sandstone concretions in the Swan-Pelican forest. Traditional harvesting area for families of Pine Creek and Duck Bay."
"Kinosota","Settlement / Trading Post","Oral tradition / approximate","125","Established at the narrows of Lake Manitoba. Relocated in 1828 to oppose independent hunters. Treaty Two signed here in 1871."
"La Chevulure Montagne Post (Hair Hills Post)","Trading Outpost","Early 1800s","108","Outpost established by Alexander Henry the Younger in the early 1800s to serve hunters of the Pembina hills."
"Laboucane (Duhamel)","Settlement","1870s","350","A significant Métis agricultural settlement in Alberta | established by families who migrated westward from the Red River Settlement after the 1870 Res"
"Lac des Chênes (Flat Creek)","Settlement / Wintering site","Late 1860s","112","A traditional Métis wintering site that became a permanent settlement by the late 1860s | also known as Oak Lake."
"Lac Ste. Anne","Mission / Settlement","1844","62","A vital historic Métis mission and gathering place in Alberta."
"Lake Metigoshe Métis Settlement","Settlement / Wintering site","Late 1800s","138","Ancient camping place on Turtle Mountain that became a wintering site for hunters from Grantown. First settlers included Louis Lee Racine."
"Lake Pepin","Reserved Lands / Settlement","1830","350","Early United States Métis land tract associated with the 1830s land grants made to Métis families in Minnesota. Located on the Mississippi River betwe"
"Lane's Post","Trading Post / Farm","Oral tradition / approximate","126","Managed by William Lane; primarily for farming. Lane was involved in a 1864 plot to capture Dakota leaders using drugged wine."
"Lane’s Post (St. François Xavier)","Trading Post / Farm Depot","1856","350","Established in the 1850s at Pigeon Lake on the Assiniboine River | this post first appears in HBC records in 1856. It was managed by William Lane and w"
"Last Mountain Lake","Seasonal Camp / Hunt site","Historic","350","A historic Metis hunting area in central Saskatchewan | near the South Saskatchewan River and the community of Batoche. Metis families from the Red Riv"
"Lido Plage","Gathering / Recreation Site","1931 (Resort)","129","Recreation area on the Assiniboine that hosted the annual "Old Timers & Pioneers Picnic". Featured jigging and fiddling contests."
"Little Britain","Settlement","1826","140","Early name for Lockport; settled by retiring Orkneymen and families. Known for its landmark Presbyterian church built by master stonemasons."
"Little Chicago (Chicago Line)","Road Allowance Community","Early 1900s","74","Pejorative term for road allowance communities where Métis were displaced."
"Little Grand Rapids House","Trading Post","1848","106","HBC post at Family Lake named for rapids on Berens River. Supplies were delivered by York boat until 1871."
"Little Saskatchewan River","Geographic Landmark","Ancient","120","Originates in Riding Mountain; called "Rivière Rapide" by David Thompson. Its valley was a key wintering area for bison."
"Longbody Creek (Kenepikiniwewe)","Road Allowance Community","1988","138","Established in 1988 for Métis displaced from Bloodvein Reserve. The community dispersed within five years as many returned to the reserve."
"Loon Straits","Settlement","Historic","128","Fishing and trapping community on eastern shore of Lake Winnipeg. Residents renowned for building seaworthy oak and cedar boats."
"Lorette (Petit Point du Chênes)","Parish / Settlement","Oral tradition / approximate","134","Settled in 1850s by families from central parishes. A community of freighters and buffalo hunters whose cattle grazed along the Seine."
"Lorette (Petit Point des Chênes)","Parish / Settlement","1850s","134","Settled in 1850s by families from central parishes. A community of freighters and buffalo hunters whose cattle grazed along the Seine."
"MacGregor","Road Allowance Community","1870s (Documented)","133","Road allowance community west of Portage la Prairie. Residents displaced by the rail line and later lobbied for housing land in 1961."
"Mallard (Enniship)","Settlement","1895","113","Associated with Skownan Band; named for a nearby lake. Settlers moved here in 1895 for wild game and Seneca root."
"Manigotagan (Bad Throat River)","Settlement","1904 (Survey)","122","Named for the sound of a waterfall like a bad sound in the throat. Surveyed into 18 river lots in 1904 for Métis laborers."
"Manitoba House (Kinosota)","Settlement / Trading Post","Mid-1790s","194","Location at the narrows of Lake Manitoba where the HBC established Manitoba House in 1796. Treaty Two negotiations took place here 1871. Strategic jun"
"Mapleton","Settlement","1790 (Peguis arrival)","119","Also called "Old England |" home to fur traders and Chief Peguis’ people. Along the Red River north of Lower Fort Garry."
"Matheson Island (formerly Snake Island)","Settlement / Stopping Point","1867 (Post)","135","Stopping place for York boats renamed in 1903 after Daniel Matheson. Residents descend from Norwegian | English | and Icelandic settlers."
"Meadow Portage","Settlement / Stopping Point","Early 1900s (Ranching)","114","Located on a narrow strip between Lake Manitoba and Lake Winnipegosis. Fur trade hub and later ranching community."
"Metikewap (Wooden/Bark Tent)","Road Allowance Community","Historic","124","Road allowance settlement east of The Pas named for bark-covered teepees. Disappeared due to flooding from Grand Rapids dam."
"Métis Island","Settlement","Historic","90","Site of a settlement north of Ross Island at Cross Lake before relocation to Nelson River."
"Michipicoten Post","Fort / Trading Post","Historic","350","Significant Hudson's Bay Company post on the northern shore of Lake Superior | established as a critical transshipment point for goods moving between t"
"Milk River","Historic Site","Late 1800s","350","A site of major historical significance near the Montana-Alberta border | associated with the 1882 Métis deportation attempt. When the Canadian governm"
"Minnedosa","Settlement / Transportation Hub","1869","106","Founded by John Tanner | a Civil War veteran | who built a ferry and store here. Formerly Tanner's Crossing."
"Moose Lake (Settlement)","Settlement","Historic","119","Community southeast of The Pas whose traditional livelihood was devastated by dam flooding. Recorded 282 Métis in 1958."
"Netley Creek (Rivière aux Morts)","Trading Post / Agricultural site","1803 (Post)","126","Site of native horticulture in 1805 where corn and potatoes were grown. HBC established a post here in 1813 with sixty horses."
"Norway House and Rossville","Fort / Settlement / Depot","1817","100","Transshipment hub where Chief Factors met in council. World-renowned center for building York boats."
"Oak Lake (Lac des Chênes / Métis Wintering Sites)","Settlement / Wintering site","Late 1860s","104","Watering stop west of Brandon; became a permanent settlement by late 1860s. Staffed by 50-100 Métis men."
"Oak Point House and Oak Point","Trading Post / Wintering site","1860s (Post)","117","HBC trading post and wintering place for cattle where Métis took land grants. Associated with the "Oak Point Nation"."
"Opaskweyaw (The Pas)","Settlement / Rendezvous Site","1741 (Fort); 1840 (Mission)","107","Rendezvous point for Cree and Métis hunters. Site of Devon Mission | established by Rev. Henry Budd in 1840."
"Oxford House","Fort / Trading Post","1798","125","Established on the Hayes River route Midway between York Factory and Norway House. William Sinclair raised 12 children there."
"Park Valley","Settlement Hub","Historic","350","A Métis settlement hub in Saskatchewan mentioned in Métis historical records as a significant community area. The valley served as a gathering place f"
"Pembina","Settlement / Trading Post","1797 (HBC Post)","116","Named for buffalo wool rubbed off on trees. Strategic wintering spot for hunters and site of early trading outposts."
"Petit Point de Roches","Settlement (River Lot)","Mid-1800s","85","Red River community north of Ste. Agathe inhabited by buffalo hunters and freighters."
"Petit Point du Chênes (Lorette)","Parish / Settlement","1850s","183","Settled 1850s by families from central Red River parishes. Community of freighters and buffalo hunters whose cattle grazed the Seine River. Bishop Tac"
"Pikwitonei","Settlement (Railway)","1914","112","Railway division point where Métis engaged in track maintenance and sturgeon fishery. Division point until 1972."
"Pine Bluff","Settlement","1874","119","Self-sufficient settlement southeast of The Pas established as early as 1874. Entirely flooded by the Grand Rapids Dam."
"Pine Dock (Bullhead)","Settlement","Historic","58","Community on Lake Winnipeg historically known as Bullhead."
"Pine Fort","Fort / Trading Post","1768 (Fort des Épinettes)","82","Lowest post on Assiniboine; chief trade hub for Mandan Indians. Abandoned in 1794."
"Pointe à Grouette","Settlement","Oral tradition / approximate","114","Settlement of hunters and salt makers where most were disenfranchised after 1870. Known as Petite Pointe à Saline."
"Pointe à Grouette (Petite Pointe à Saline, St. Agathe)","Settlement / Parish","Mid-1800s","114","Settlement of hunters and salt makers where most were disenfranchised after 1870. Known as Petite Pointe à Saline."
"Pointe Coupée (St. Adolphe)","Parish / Settlement","Early 1800s","99","Red River parish founded by Métis in early 1800s. Site of 1869 Resistance action against surveyors."
"Pointe des Chênes (Grande Pointe des Chênes, Ste. Anne de Chênes)","Settlement","1850s","115","Woodcutting center where residents were primary laborers for Dawson Road. Enraged by John Snow ignoring boundaries."
"Pointe du Chien-Maigre","Historic Site / Fort","Historic","350","A historic Métis name for the Carlton House area in Saskatchewan. The name reflects the Indigenous understanding of the landscape and was used by Méti"
"Poitras House","Trading Post","1807","59","HBC post near Brandon named for the Métis trader in charge."
"Poplar Point","Parish / Settlement","1850s","90","Settlement featuring a log church with a bell from York Factory. Church completed in 1864."
"Portage La Loche","Transportation Hub","Historic","350","One of the longest and most challenging portages in the North American fur trade. Located on the Churchill River system in Saskatchewan | it required M"
"Prairie à Fournier","Mission / Settlement site","1834","113","Mission site east of St. Eustache on land gifted by Governor Simpson. Nolin sisters opened a school here in 1834."
"Rabbit Point (Princess Harbour)","Settlement","Historic","93","Small peninsula on Lake Winnipeg near Bloodvein Bay. Positioned 304 air km north of Winnipeg."
"Rall’s (Rahls) Island (Settlement)","Road Allowance Community","1915","95","Road allowance community downstream from The Pas. Founded by Charles Rall and Elizabeth Knight."
"Rat Portage","Settlement","1882 (Incorporation)","60","Disputed area between Manitoba and Ontario (today's Kenora)."
"Rat River (Rivière aux Rats)","Settlement / Wintering site","1822-1825","96","Wintering site with plentiful hay and wood. Surrounds the present community of St. Pierre Jolys."
"Red Deer Lake","Trading Post site / Settlement","1794 (Post)","314","This cluster of five Métis communities is located on the edge of the Porcupine Forest near the former Fort Red Deer River trading post. Barrows served"
"Red River Settlements (North of Upper Fort Garry)","Settlement / Parish","Pre-1870","122","Network of narrow river lots extending north | home to hunters and farmers. Lots extended two miles east and west of river."
"Riding Mountain","Historic Site / Landmark","Ancient","113","Known as Manitouapau Hills or "Hill of the Buffalo Hunt". Sacred grounds for elk and a strategic migration route."
"Rivière aux Islets de Bois (Carman)","Settlement","1825","85","Winding river site famous for cart builders and "sugar lots". Now called Boyne River."
"Rivière Esturgeon (St. Charles)","Parish / Settlement","Early 1800s","111","Métis community west of Sturgeon Creek with a buffalo crossing and ferry. Formally renamed St. Charles in 1854."
"Rivière Gratchias (Morris)","Settlement / Transportation site","Historic","109","Rest stop for Red River carts making their way south to St. Paul. Named for the abundant burdock (gratchias)."
"Rivière Sale (St. Norbert)","Parish / Settlement","1822","123","Settlement dating back to 1822; cradle of the 1869-70 Resistance. Site of the famous wooden blockade turned back McDougall."
"Rivière St. Pierre","Geographic Feature","1734","78","An early explorer name for the Souris River and the Little Saskatchewan River."
"Rock Lake (Lac des Roches)","Settlement","Historic","128","Source of Pembina River; inhabited by descendants of Henry’s Métis employees. People intermarried with Nakoda and Chippewa Cree."
"Rooster Town","Road Allowance Community","Oral tradition / approximate","172","Last known road allowance community in Winnipeg | located between railway tracks. Named Pakan Town for hazelnuts. Evicted in 1959 to make way for a sho"
"Rooster Town (Pakan Town)","Road Allowance Community","Early 1900s","172","Last known road allowance community in Winnipeg | located between railway tracks. Named Pakan Town for hazelnuts. Evicted in 1959 to make way for a sho"
"Salt Point Métis Settlement","Settlement","1800s","260","A community stretching along a five-kilometre section of the east shore of Lake Winnipegosis | accessed via PR #276. In the 1800s | the Monkman family o"
"Sandy Bay","Settlement","1871","307","Originally the White Mud Band | these Ojibway-French mixed-bloods were relocated multiple times—first 20 miles north of Westbourne | then straight north"
"Sault à la Biche (Deer Rapids, St. Andrews)","Settlement","Early 1800s","281","Located at the limestone rapids of the Red River south of Selkirk. It was chosen for early Indian and Métis settlements because the high ground offere"
"Saulteaux Village","Parish / Settlement","1832","350","A French-Métis parish on the Assiniboine River between St. François Xavier and Poplar Point. Father Belcourt founded the mission to transition the Mét"
"Selby Town","Road Allowance Community","1939","276","A Métis road allowance community south of Binscarth. It was settled in 1939 by refugees from Ste. Madeleine after their original homes were burned. Th"
"Seven Oaks (Sept Chênes)","Historic Site (Battlefield)","June 19, 1816","282","Site of the 1816 battle known to the Métis as La battaille de la Grenouillère (Battle of Frog Plain). The conflict began when HBC Governor Semple's me"
"Shoal River","Settlement / Trading Post","Oral tradition / approximate","350","An HBC post located on Pelican Lake | which was part of the Shoal River system in western Manitoba. It served as a trade hub for the local Cree-Saultea"
"Shoal River House","Trading Post","Historic","192","An HBC post located on Pelican Lake | which was part of the Shoal River system. It served as a trade hub for the local Cree-Saulteaux Band and was conn"
"Skownan, Rock Ridge and Mallard Métis Settlements","Settlement","1895 (Mallard)","252","A cluster of settlements on the south shore of Waterhen Lake. Skownan is a Cree name meaning "to turn around the point." These communities were origin"
"Smokey River","Settlement Hub","Historic","350","A Métis settlement in Alberta with significant historical connections to the scrip applications of western Métis families. Located in western Alberta "
"South Indian Lake Métis Settlement","Settlement","1803 (Original Post)","350","A northern community linked to the Churchill River and Reindeer Lake fur trade networks. This area supported a specialized lifestyle of commercial fis"
"Spring Creek (Lewistown)","Settlement","Late 1800s","222","Located in Montana | this site is recognized for its first Catholic pioneers from the Métis community. It was a significant destination for Métis famil"
"St. Adolphe","Parish / Settlement","Early 1800s","99","Red River parish founded by Métis in early 1800s. Site of 1869 Resistance action against surveyors."
"St. Ambroise","Settlement","1870 (Relocation)","250","A small Métis community on the southeast tip of Lake Manitoba. After 1870 | many Métis relocated here to "scrub land" that was independent and self-suf"
"St. Ambroise Dakota Entrenchment (Historic Site)","Historic / Defensive Site","1864","266","A continuous circular earthen embankment 114 metres in diameter with interior rifle pits. It was built by a group of Dakota led by "The Leaf" who were"
"St. Andrews","Parish / Settlement","1823","281","Located at the limestone rapids of the Red River south of Selkirk. It was chosen for early Indian and Métis settlements because the high ground offere"
"St. Anne de Chênes","Settlement","1850s","196","Woodcutting center where residents were primary laborers for the Dawson Road. Enraged when surveyor John Snow ignored their established boundaries. Hu"
